participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_2o5ZzqcpnrKt3Md,27,yes,yes,yes,yes,,619,100,True,65+ years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,0.875,0.6921,3.3333,3.2222,2.6667,6.1111,5.8889,6.1111,0.2857,-0.1162,-0.1659,1.453,1.453,1.1667
R_2esh0qM67MP3Qmq,27,yes,yes,yes,yes,,825,100,True,55-64 years old,Male,"No, I am not colourblind",1.0,2.1666666666666665,2.921903762280879,1.9219037622808788,3.921903762280879,high,2.0,2.3286,0.25,-0.5878,3.4444,3.5556,3.4444,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
R_8rPww6NN6Qu4VQg,27,yes,yes,yes,yes,,686,100,True,55-64 years old,Female,"No, I am not colourblind",4.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,1.1429,0.5579,0.75,0.4361,1.7778,3.2222,3.6667,8.0,7.7778,7.5556,-0.0909,-0.0333,0.0606,0.7071,0.441,0.7265
R_2rBEmVThHLDCcvf,27,yes,yes,yes,yes,,325,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.0,-1.8031,0.75,0.4361,3.0,4.2222,2.4444,3.2222,2.3333,2.5556,0.426,0.2896,0.0791,1.9861,2.2913,1.7401
R_2ffLrdv5x7eLD4G,27,yes,yes,yes,yes,,526,100,True,25-34 years old,Male,"No, I am not colourblind",1.0,1.5,1.5981683561646798,0.5981683561646798,2.59816835616468,high,1.2857,0.8529,0.875,0.6921,2.7778,2.7778,2.2222,6.5556,5.5556,6.6667,0.0055,0.475,0.18,2.8333,3.1269,2.2913
R_6dC6vSvGuUF1Ms1,27,yes,yes,yes,yes,,495,100,True,18-24 years old,Non-binary / third gender,"No, I am not colourblind",2.0,1.3333333333333333,1.26723450463563,0.2672345046356299,2.26723450463563,high,1.7143,1.7384,0.0,-1.0998,3.5556,2.4444,3.3333,6.5556,4.1111,5.0,0.0328,0.473,0.0119,2.5055,2.848,2.6458
R_2gGvHt3veC5VRVD,27,yes,yes,yes,yes,,415,100,True,18-24 years old,Female,"No, I am not colourblind",2.0,1.6666666666666667,1.9291022076937296,0.92910220769373,2.92910220769373,high,1.7143,1.7384,0.875,0.6921,2.8889,2.1111,2.1111,5.4444,6.1111,6.0,-0.0905,0.1514,0.05,1.5092,1.2693,1.2247
R_8C2YaoQPaCdEM9m,27,yes,yes,yes,yes,,290,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.8571,-0.0325,0.75,0.4361,2.2222,4.2222,2.4444,6.1111,5.7778,4.8889,0.2477,-0.6369,0.3529,2.3688,2.2236,2.4721
R_2p4X7YZ9lKvz7zz,27,yes,yes,yes,yes,,421,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.5714,-0.6227,0.125,-0.8438,3.3333,4.0,2.5556,5.5556,4.7778,6.1111,-0.0278,-0.4548,-0.2111,2.0069,1.8559,2.2608
R_2FapEVXtx7mpBUU,27,yes,yes,yes,yes,,478,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,0.8333333333333334,0.2744329500484805,-0.7255670499515194,1.2744329500484806,high,1.2857,0.8529,0.375,-0.3318,3.8889,2.7778,3.7778,6.3333,6.0,4.8889,-0.0042,0.5902,-0.3228,2.2913,1.8028,2.848
R_2Dj8hI09nDJrqEx,27,yes,yes,yes,yes,,270,100,True,35-44 years old,Male,"No, I am not colourblind",1.0,0.0,-1.3802363075967687,-2.3802363075967685,-0.3802363075967687,low,0.5714,-0.6227,0.0,-1.0998,4.2222,2.5556,2.5556,1.6667,1.5556,1.7778,-0.1926,-0.0758,0.0137,0.7071,0.527,0.6667
