participant,painting,position,condition,anchor,anchor_c,anchor_c2,rating,has_rating,distance,signed_dev,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,engagement_7item_hi,engagement_7item_lo,engagement_7item_group,ai_usage,ai_usage_z,age_band,gender,colour_vision,duration,progress,finished,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,quadrant,quadrant_code,semantic_level,perceptual_level,object_count,unique_objects,unique_categories,hog,rms_contrast,hog_z,object_count_z,unique_objects_z,unique_categories_z,rms_contrast_z,semantic_z,painting_liking,rater_baseline,eng1_museum,visual_engagement,visual_engagement_3item
R_2o5ZzqcpnrKt3Md,SK-A-1756,1,none,5,-0.5,-8.1561,8.0,yes,3.0,3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_high_perc,Q1,high,high,20,12,9,5.001,12.19,0.1782,-0.3717,-0.2415,0.2636,-0.0008,-0.1165,-1.106,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-2320 B,2,ai,7,1.5,-6.1561,8.0,yes,1.0,1.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_high_perc,Q2,low,high,11,7,4,4.974,8.222,0.1616,-0.8279,-1.0175,-1.3537,-0.8435,-1.0664,0.3704,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-C-1215,3,ai,9,3.5,3.8439,6.0,yes,3.0,-3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_high_perc,Q1,high,high,24,14,8,5.533,8.134,0.5041,-0.169,0.069,-0.0599,-0.8622,-0.0533,-0.0772,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-C-243,4,human,6,0.5,-8.1561,8.0,yes,2.0,2.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_low_perc,Q4,low,low,14,12,6,4.052,8.426,-0.4032,-0.6758,-0.2415,-0.7068,-0.8002,-0.5414,0.1632,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-87,5,human,10,4.5,11.8439,8.0,yes,2.0,-2.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_low_perc,Q4,low,low,16,9,4,1.284,3.991,-2.099,-0.5744,-0.7071,-1.3537,-1.742,-0.8784,0.5278,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-C-95,6,none,2,-3.5,3.8439,7.0,yes,5.0,5.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_high_perc,Q2,low,high,12,10,6,5.078,11.141,0.2254,-0.7772,-0.5519,-0.7068,-0.2236,-0.6786,0.0208,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-110,7,none,1,-4.5,11.8439,7.0,yes,6.0,6.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_high_perc,Q2,low,high,9,7,5,5.104,15.147,0.2413,-0.9292,-1.0175,-1.0303,0.6271,-0.9923,0.0078,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-2110,8,ai,4,-1.5,-6.1561,7.0,yes,3.0,3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_low_perc,Q3,high,low,29,17,13,4.449,10.91,-0.16,0.0845,0.5346,1.5574,-0.2727,0.7255,0.9709,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-1940,9,none,1,-4.5,11.8439,5.0,yes,4.0,4.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_high_perc,Q1,high,high,39,23,10,7.148,15.116,1.4935,0.5913,1.466,0.587,0.6205,0.8814,-0.3461,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-62,10,human,3,-2.5,-2.1561,6.0,yes,3.0,3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_low_perc,Q4,low,low,6,4,4,4.61,10.563,-0.0614,-1.0813,-1.4832,-1.3537,-0.3464,-1.3061,-1.366,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-3297,11,none,6,0.5,-8.1561,5.0,yes,1.0,-1.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_low_perc,Q4,low,low,17,10,7,4.118,13.599,-0.3628,-0.5237,-0.5519,-0.3834,0.2984,-0.4863,-0.4879,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-298,12,ai,4,-1.5,-6.1561,6.0,yes,2.0,2.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_low_perc,Q3,high,low,22,19,12,3.588,8.258,-0.6875,-0.2703,0.8451,1.2339,-0.8359,0.6029,0.4922,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-1403,13,none,1,-4.5,11.8439,4.0,yes,3.0,3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_high_perc,Q1,high,high,69,22,13,5.281,17.539,0.3497,2.1119,1.3107,1.5574,1.1351,1.66,0.7811,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-1684,14,human,8,2.5,-2.1561,5.0,yes,3.0,-3.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,low_sem_low_perc,Q4,low,low,7,6,5,1.478,7.119,-1.9802,-1.0306,-1.1728,-1.0303,-1.0777,-1.0779,1.5061,1.1442,1.0,0.5,1.3333333333333333
R_2o5ZzqcpnrKt3Md,SK-A-232,15,none,8,2.5,-2.1561,8.0,yes,0.0,0.0,1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.2857,0.8529,-0.1471,1.8529,high,0.875,0.6921,65+ years old,Female,"No, I am not colourblind",619,100,True,27,yes,yes,yes,yes,,high_sem_low_perc,Q3,high,low,76,16,8,2.204,6.579,-1.5354,2.4667,0.3794,-0.0599,-1.1924,0.9287,0.1549,1.1442,1.0,0.5,1.3333333333333333
